COMARCA;HABITANTS;DENSITAT;MUNICIPIS_M500_HAB;MUNICIPIS_501_2000_HAB;MUNICIPIS_2001_5000_HAB;MUNICIPIS_5001_10000_HAB;MUNICIPIS_10001_50000_HAB;MUNICIPIS_50001M_HAB;MUNICIPIS;POBLACIO_0_14_ANYS;POBLACIO_15_64_ANYS;POBLACIO_65M_ANYS;POBLACIO_ESTRANGERA;FAM_MONOPARENTAL;FAM_NOMBROSA;POBLACIO_75_ANYS_VIU_SOLA
ALT CAMP;44695;83.1;10;10;1;1;1;0;23;15.2;65.7;19.1;12.34;1.7;4.9;28
ALT EMPORDA;142624;105.1;29;30;4;1;4;0;68;16.3;64.9;18.8;24.2;1.8;5;30.9
ALT PENEDES;109606;184.9;1;12;10;2;2;0;27;16.9;65.3;17.8;10.76;2.2;5.4;26.7
ALT URGELL;20231;14;12;6;0;0;1;0;19;12.9;64.7;22.4;11.67;1.4;3.1;30.2
ALTA RIBAGORÇA;3825;9;0;2;1;0;0;0;3;13.4;66.2;20.4;11.49;1.4;2.3;30.5
ANOIA;123024;142;13;8;6;2;4;0;33;16.6;65.2;18.2;8.34;2.2;5.8;27.5
BAGES;180575;165.3;6;5;9;8;1;1;30;15.7;64.1;20.1;11.64;1.9;4.6;27.2
BAIX CAMP;194127;278.5;7;11;4;3;2;1;28;17.1;65;17.9;15.96;2.4;5.9;29.4
BAIX EBRE;78011;77.8;1;5;4;2;2;0;14;14.7;62.9;22.3;16.46;2.3;4.8;26.4
BAIX EMPORDA;135805;193.5;17;9;2;1;7;0;36;15.4;64.9;19.7;19.61;1.7;4.6;28.1
BAIX LLOBREGAT;834653;1717.40;0;1;4;5;15;5;30;16;66.1;17.9;10.25;2.4;4.5;23.9
BAIX PENEDES;107803;363.7;0;3;7;1;3;0;14;15.9;64.4;19.7;14.56;2.3;5;25.8
BARCELONES;2314620;15880.80;0;0;0;0;1;4;5;13.5;65.8;20.7;19.21;2.2;3.6;31.1
BERGUEDA;39980;33.7;21;5;4;0;1;0;31;13.3;62.2;24.6;8.35;1.3;3.1;27.8
CERDANYA;18525;33.9;11;4;1;1;0;0;17;14;67.9;18.1;14.18;1.6;3.3;30.4
CONCA DE BARBERA;19947;30.7;15;4;2;1;0;0;22;13.8;64.1;22;11.4;1.2;4.3;28.6
GARRAF;152801;825.5;0;0;2;0;3;1;6;15.3;66.6;18.1;13.88;2.5;4.3;28.4
GARRIGUES;18873;23.7;17;4;2;1;0;0;24;12.7;62.1;25.2;12.91;1.1;2.9;37.8
GARROTXA;58620;79.8;8;9;3;0;1;0;21;15;64.4;20.7;15.44;1.7;4.1;31
GIRONES;197104;342.4;6;9;6;3;2;1;27;17.9;66.6;15.5;20.44;2.4;6.8;28.2
MARESME;458626;1150.80;0;2;4;10;13;1;30;15.6;65.5;18.9;11.75;2.2;4.8;25
MOIANÈS;13919;41.2;3;5;1;1;0;0;10;14.9;66.1;19;8.38;1.8;4.5;23.6
MONTSIA;68263;92.8;1;4;2;3;2;0;12;14.4;64.6;21.1;16.6;2.7;4.1;24.6
NOGUERA;39132;21.9;16;11;2;0;1;0;30;14.6;63.5;21.9;16.84;1.8;4.5;31.1
OSONA;163702;131.5;19;10;14;4;3;0;50;16.4;65.5;18.1;15.29;1.7;5.1;30.9
PALLARS JUSSA;13227;9.9;9;3;1;1;0;0;14;12.5;62;25.5;12.67;1.6;3.3;38.9
PALLARS SOBIRA;6930;5;12;2;1;0;0;0;15;12.7;66.6;20.6;9.75;1;2.3;39.9
PLA D'URGELL;36737;120.4;0;10;5;0;1;0;16;15.8;65;19.1;18.57;1.4;4.5;30.4
PLA DE L'ESTANY;32637;124.2;4;4;2;0;1;0;11;17.3;64.5;18.2;14.66;1.5;5.9;24
PRIORAT;9160;18.4;20;2;1;0;0;0;23;11.7;63;25.3;11.52;1.5;4.3;30.2
RIBERA D'EBRE;21870;26.4;2;9;2;1;0;0;14;12.5;62.7;24.8;15.34;1.5;3.9;29.4
RIPOLLES;25253;26.4;12;3;3;0;1;0;19;12.6;61.8;25.5;9.2;1.1;3;31.5
SEGARRA;23318;32.3;16;3;0;2;0;0;21;15.9;66.3;17.8;26.95;1.7;5.5;33.8
SEGRIA;211840;151.7;10;15;9;3;0;1;38;15.6;66.3;18.1;18.35;1.8;4.6;32.3
SELVA;174638;175.5;3;5;7;8;3;0;26;15.4;66.7;17.9;19.7;1.8;4.3;27.4
SOLSONES;13513;13.5;12;2;0;1;0;0;15;15.5;63.7;20.7;10.62;1.5;4.1;35.1
TARRAGONES;261466;818.7;2;5;7;4;3;1;22;16.2;66.9;16.9;17.31;2.3;5.3;29
TERRA ALTA;11430;15.4;4;7;1;0;0;0;12;11.9;58.5;29.6;12.25;1.5;3.5;21.9
URGELL;37116;64;9;8;0;2;1;0;20;16;64.5;19.5;18.44;1.8;5.2;32.5
VALL D'ARAN;10175;16.1;5;3;0;1;0;0;9;13.7;71.4;14.9;15.99;1;2.4;31.7
VALLES OCCIDENTAL;937508;1607.70;1;1;2;5;9;5;23;16.7;66.4;16.8;10.74;2.2;5.4;25.9
VALLES ORIENTAL;414570;564;3;5;7;10;12;2;39;16.2;66.8;17;8.86;2.3;4.9;24.2
