COMARCA;TIPUS_COMARCA;SUPERFICIE;ALTITUD;TEMPERATURA;PRECIPITACIO;HUMITAT;VELOCITAT_VENT
ALT CAMP;Interior;538;287;15.7;342.1;64;3
ALT EMPORDA;Costa;1357.54;24;16.9;522.9;63;3.1
ALT PENEDES;Interior;592.69;240;15.2;465.5;71;1.8
ALT URGELL;Muntanya;1447.46;849;12.1;592.2;62;1.7
ALTA RIBAGORÇA;Muntanya;426.86;823;10.4;842.9;71;1.1
ANOIA;Interior;866.31;316;15.6;523.9;67;2.4
BAGES;Interior;1092.30;349;13.8;490.3;71;1.1
BAIX CAMP;Costa;697.15;29;16.8;426.7;69;1.4
BAIX EBRE;Costa;1002.67;179;16.7;317.1;65;4.5
BAIX EMPORDA;Costa;701.69;29;15.3;579.8;75;1.8
BAIX LLOBREGAT;Costa;485.99;8;16.3;555.8;71;2.8
BAIX PENEDES;Costa;296.45;59;16.3;368.8;69;2.4
BARCELONES;Costa;145.75;33;18.1;626.6;62;2.1
BERGUEDA;Muntanya;1185.25;873;12.3;597;71;1.4
CERDANYA;Muntanya;546.69;1213;9.9;677.9;60;1.6
CONCA DE BARBERA;Interior;650.17;446;14.2;443.2;67;2.9
GARRAF;Costa;185.11;148;15.5;466.6;72;1.6
GARRIGUES;Interior;797.7;505;14.5;343.3;63;2.2
GARROTXA;Muntanya;734.62;433;13.6;613.6;71;1.4
GIRONES;Interior;575.6;72;14.8;540;73;1.3
MARESME;Costa;398.53;81;16.3;513.9;69;2.1
MOIANÈS;Interior;337.9;;;;;
MONTSIA;Costa;735.42;3;17.2;340.8;71;3.4
NOGUERA;Interior;1784.07;238;14.4;389.8;70;1.3
OSONA;Interior;1245.20;509;12.9;528.2;74;0.9
PALLARS JUSSA;Muntanya;1343.09;508;13.3;699.4;65;1.6
PALLARS SOBIRA;Muntanya;1377.92;679;12.2;775.7;64;
PLA D'URGELL;Interior;305.14;247;14.6;437.7;69;1.5
PLA DE L'ESTANY;Interior;262.78;176;15.8;508;68;2
PRIORAT;Interior;498.61;359;15.3;465.9;64;2.6
RIBERA D'EBRE;Interior;827.32;53;16.6;320.8;64;2.2
RIPOLLES;Muntanya;956.62;852;10.6;756.9;76;1.2
SEGARRA;Interior;722.72;554;13.7;356.2;68;2.9
SEGRIA;Interior;1396.66;286;14.2;331.4;70;2.7
SELVA;Costa;995.04;150;14.9;510.6;71;1.4
SOLSONES;Interior;1001.24;691;13;522.1;68;2.3
TARRAGONES;Costa;319.37;5;17.1;359.9;67;2.4
TERRA ALTA;Interior;743.04;515;14.9;388.3;60;2.7
URGELL;Interior;579.66;427;14.6;401.6;65;2.9
VALL D'ARAN;Muntanya;633.6;1002;9.7;1062.90;73;1.5
VALLES OCCIDENTAL;Interior;583.13;258;15.2;553;69;2.1
VALLES ORIENTAL;Interior;735;176;15.3;506.5;69;2.1
