COMARCA;CENTRES;LLITS_AGUTS;LLITS_SOCIO;LLIT_PSIQ;INCUBADORES;LLITS;LLITS_1000_HAB;LLIT_AGUTS_1000_HAB;FARMACIES;HAB_FARMACIA
ALT CAMP;5;91;242;0;1;334;7.49;2.04;22;2013
ALT EMPORDA;4;203;154;0;0;357;2.58;1.47;75;1833
ALT PENEDES;4;124;291;0;2;417;3.83;1.14;37;2920
ALT URGELL;2;52;30;20;6;108;5.37;2.59;10;2018
ALTA RIBAGORÇA;0;0;0;0;0;0;0;0;3;1275
ANOIA;3;217;211;0;7;435;3.57;1.78;42;2857
BAGES;7;645;302;40;12;999;5.61;3.62;73;2408
BAIX CAMP;7;311;268;992;10;1581;8.17;1.61;75;2548
BAIX EBRE;3;286;250;0;2;538;6.96;3.7;37;2086
BAIX EMPORDA;2;134;100;0;2;236;1.78;1.01;69;1910
BAIX LLOBREGAT;19;1379;1224;1825;45;4473;5.43;1.67;263;3101
BAIX PENEDES;2;130;126;0;0;256;2.41;1.23;31;3330
BARCELONES;81;8840;3692;1267;198;13997;6.13;3.87;1225;1838
BERGUEDA;4;91;149;0;0;240;6.08;2.3;21;1863
CERDANYA;2;64;52;0;2;118;6.45;3.5;10;1788
CONCA DE BARBERA;0;0;0;0;0;0;0;0;10;1993
GARRAF;2;192;211;0;3;406;2.73;1.29;43;3422
GARRIGUES;1;0;0;44;0;44;2.33;0;12;1573
GARROTXA;1;64;72;0;1;137;2.4;1.12;26;2155
GIRONES;11;785;474;443;23;1725;9.08;4.13;81;2312
MARESME;15;526;646;205;5;1382;3.07;1.17;149;2983
MOIANÈS;0;0;0;0;0;0;0;0;9;1490
MONTSIA;2;41;130;42;2;215;3.13;1.07;27;2522
NOGUERA;2;0;102;38;0;140;3.66;0;22;1737
OSONA;7;293;307;16;4;620;3.87;22.65;62;2543
PALLARS JUSSA;1;41;20;0;2;63;4.87;5.96;7;1846
PALLARS SOBIRA;0;0;0;0;0;0;0;0;4;1723
PLA D'URGELL;0;0;0;0;0;0;0;0;18;2055
PLA DE L'ESTANY;3;35;107;0;0;142;4.41;3.82;14;2282
PRIORAT;0;0;0;0;0;0;0;0;9;1022
RIBERA D'EBRE;1;78;38;0;4;120;5.55;3.13;15;1444
RIPOLLES;1;45;34;0;1;80;3.21;1.98;13;1915
SEGARRA;0;0;0;0;0;0;0;0;10;2252
SEGRIA;10;794;337;263;8;1402;6.77;4.68;81;2535
SELVA;4;106;133;0;3;242;1.43;7.73;69;2426
SOLSONES;1;0;32;0;0;32;2.33;0;6;2262
TARRAGONES;12;597;436;0;36;1069;4.11;52.59;100;2555
TERRA ALTA;0;0;0;0;0;0;0;0;11;1034
URGELL;0;0;0;0;0;0;0;0;17;2132
VALL D'ARAN;1;31;0;0;0;31;3.09;3.09;5;1984
VALLES OCCIDENTAL;19;1931;718;138;58;2845;3.06;4.7;269;3419
VALLES ORIENTAL;13;501;480;47;16;1044;2.54;0.07;132;3083
